,French,English
,million,million
,sac,"bag, sack"
,impossible,impossible
,seconde,"second, moment"
,bête,"stupid, silly"
,découvrir,"to discover, find"
,erreur,"error, mistake"
,soleil,"sun, sunlight"
,voyage,"trip, journey"
,sauter,to jump
,rêver,to dream
,détester,"to hate, detest"
,clair,"clear, apparent"
,faux,"wrong, false, fallacious"
,paraître,"to come out, be published"
,balle,ball (sports equipment)
,empêcher,to prevent
,maintenir,"to keep, maintain"
,cheveu,a hair
,papier,paper
,présent,"a present; present, current"
,sujet,"subject, topic, theme"
,supposer,"to suppose, assume"
,tranquille,"quiet, calm"
,neuf,"nine; new, unused"
,épouser,"to marry, to espouse"
,blanc,white; blank
,table,table; french.languagedaily.com
,toute,"everything, all (see #22, 256)"
,dix,"ten, tenth"
,clé,key; solutioin
,agent,"officer, oficial, agent"
,approcher,to approach
,sens,"direction, way; meaning; sense; senses"
,craindre,"to fear, to be afraid of"
,six,six
,message,message
,crier,to shout
,salle,"room, hall, audience"
,inviter,to invite
,effet,"effect, impression"
,réfléchir,"to reflect, think"
,espèce,"species, kind"
,arranger,"to arrange, to organize"
,naître,to be born
,allô,Hello! (telephone)
,bois,wood; antlers
,propos,"subject, topic, remark, point"
,camp,camp
,sorte,"sort, kind"
,hôtel,hotel; french.languagedaily.com
,début,beginning
,souffrir,"to be in pain, suffer"
,jambe,leg
,remercier,to thank
,choix,"choice, selection"
,sécurité,"safety, security"
,avocat,lawyer
,attraper,to catch
,client,"customer, client, guest"
,courant,"current, trend"
,dépêcher,to dispatch
,peuple,people
,dame,"lady, queen"
,vérifier,"to check, verify"
,abandonner,"to abandon, leave, desert"
,journal,"newspaper, diary, journal"
,sérieux,"genuine, serious"
,brûler,to burn
,or,gold
,loi,"law, rule"
,fond,"bottom, back"
,gosse,"kid (colloquial, child, youngster) (see #745)"
,fric,"doug, money, cash"
,situation,situation; job; location
,euh,Er…
,sauf,except
,accident,accident
,doute,doubt
,scène,scene
,soldat,soldier
,amoureux,loving
,assurer,"to assure, insure"
,preuve,"proof, evidence"
,humain,human
,mer,"sea, seaside"
,silence,silence
,télé,"TV, telly"
,victime,"victim, casualty"
,complètement,"completely, fully, in depth"
,pute,whore
,garde,"guard; carer, nurse"
,meurtre,murder
,groupe,group
,crime,crime
,traiter,to treat; to deal
,doucement,"gently, softly"
,blesser,"to injure, wound, hurt"
,colonel,colonel
,,
,avec,with
,moi,"I, me"
,si,"yes; if; so, such"
,quoi,"what (exclamatory, interrogative, after preposition)"
,devoir,"to have to, must; duty, test"
,oui,yes
,ils,they (refers to a group of masculine or mixed masculine/feminine nouns)
,comme,"as, like; how, same"
,s',"himself, herself, themselves (variation of ""se"" used before a word starting with a vowel or mute h)"
,venir,"to come, occur"
,sur,"on, upon; over (preposition); sour (adjective)"
,toi,you
,ici,here
,rien,nothing
,lui,"he, him, it, her"
,bon,"good, right, kind; good!; voucher; then; french.languagedaily.com"
,là,"there, here, then"
,suivre,to follow
,pourquoi,why
,parler,"to speak, talk"
,prendre,"to take, get"
,cette,"this, that (feminine singular)"
,quand,"when, whenever"
,alors,then; so; hence
,une chose,"thing, matter"
,par,"per, by, through, out of"
,son,"his, her, its (possessive adjective); sound (noun - le son)"
,croire,"to believe, think"
,aimer,"to love, like, be fond of"
,falloir,"it is necessary, must, have to"
,comment,how; what
,très,very
,ou,or; either… or
,passer,"to pass, go by, cross"
,penser,to think
,aussi,"also, too"
,jamais,never
,attendre,"to wait for, expect"
,trouver,to find
,laisser,to leave
,petit,"small, little, young (adjective); languagedaily dot com; kid, child (masculine noun)"
,merci,"thanks, thank you"
,même,"same; even, so much as, as"
,sa,"his, her, its (feminine)"
,ta,your (reminine)
,autre,"other, another, different (singular)"
,arriver,to arrive
,ces,"these, those (plural form of masculine ""ce"" and feminine ""cette"")"
,donner,"to give, give away"
,not,adverb
,pas,"not; step, pace"
,le,"the; him, it (refering to a masculine singular noun) (see #8, 15, 18)"
,la,"the; her, it (refering to a feminine singular noun) (see #7, 15, 18)"
,tu,you
,vous,"you, yourself"
,il,"he, it"
,et,and
,à,"in, to, with"
,un,"a, an; one (used before a masculine singular noun) (see #26, 31)"
,l',"the (used instead of ''le'' or ''la'' before nouns that begin with a vowel) (see #7, 8, 18)"
,qui,"who, whom; that, which"
,aller,to go
,les,"the; them (referring to a plural noun) (see #7, 8, 15)"
,en,"in, into, to, as"
,ça,"this, that (see #203)"
,faire,"to do, make"
,tout,"all, everything, any; very, quite"
,on,"we, you"
,que,that; what; which
,ce,"this, that (see #73, 99, 201)"
,une,"a, an; one (used before a feminine singular noun); french.languagedaily.com (see #14, 31)"
,mes,"my (used before plural nouns) (see #50, 108)"
,d',"of, from, by, than, in, with (used before a vowel or mute h) (see #4)"
,pour,for
,se,"himself, herself, themselves (see #60)"
,des,"some (used before a plural noun) (see #14, 26)"
,dire,"to say, tell"
,pouvoir,"can, to be able to"
,vouloir,to want
,mais,but
,me,"me, myself"
,nous,"we, us"
,dans,"in, into"
,elle,"she, it (refers to a feminine singular noun)"
,savoir,to know; languagedaily dot com
,du,"(de + le/les) = of the, from the"
,où,"where, that"
,y,"it, there"
,t',"you, yourself (shortened form used before a vowel)"
,bien,"well, very; good"
,voir,to see
,plus,more
,non,no
,te,"you, yourself"
,mon,"my (used before a masculine singular noun) (see #27, 108)"
,regarder,"to look at, watch"
,encore,"again, over again, even, still"
,appeler,"to call, ring"
,est-ce que,is it
,peu,"not much, not very, few; bit"
,homme,man
,partir,"to go, leave, go away"
,ma,"my (used before a feminine singular noun) (see #27, 50)"
,toujours,"always, still"
,jour,"day, daytime"
,femme,"woman, wife"
,temps,weather; time; times
,maintenant,"now, nowadays"
,notre,our (singular) (see #192)
,vie,"life, lifetime, existence"
,deux,two
,mettre,"to put, put on, wear; languagedaily dot com"
,rester,"to stay, remain"
,sans,without
,seul,alone
,arrêter,to stop
,vraiment,"really, truly"
,connaître,"to know, experience"
,quelque,"some, a few, any"
,sûr,"on, over"
,tuer,to kill
